Plant Name,Scientific Name,Advantages,General Locations of Cultivation,For More Information
Amaranthus Green,Amaranthus hybridus,"Nutrient-rich, used in salads and cooking.","Asia, Africa, Americas",https://pfaf.org/User/plant.aspx?LatinName=Amaranthus+hybridus
Amaranthus Red,Amaranthus cruentus,"Nutrient-rich, used in salads and as a grain.","South America, Africa, Asia",https://pfaf.org/User/plant.aspx?LatinName=Amaranthus+cruentus
Balloon vine,Cardiospermum halicacabum,"Medicinal properties, traditional medicine.",Tropical and subtropical regions,https://pfaf.org/user/Plant.aspx?LatinName=Cardiospermum+halicacabum
Betel Leaves,Piper betle,Used in traditional medicine and as mouth freshener.,South and Southeast Asia,https://pfaf.org/user/Plant.aspx?LatinName=Piper+betle
Black Night Shade,Solanum nigrum,"Medicinal uses, rich in antioxidants.",Temperate and tropical regions,https://pfaf.org/user/plant.aspx?LatinName=Solanum+nigrum
Celery,Apium graveolens,"Low in calories, used in salads and cooking.",Temperate regions,https://en.wikipedia.org/wiki/Celery
Chinese Spinach,Amaranthus tricolor,Nutrient-dense leafy green used in various dishes.,Asia and other regions,https://en.wikipedia.org/wiki/Amaranthus_tricolor
Coriander Leaves,Coriandrum sativum,Culinary herb with a fresh flavor.,Many regions worldwide,https://en.wikipedia.org/wiki/Coriander
Curry Leaf,Murraya koenigii,Aromatic leaves used in Indian cooking.,"India, tropical regions",https://en.wikipedia.org/wiki/Curry_tree
Dwarf Copperleaf (Green),Acalypha reptans,Ornamental plant with colorful leaves.,Tropical and subtropical regions,https://en.wikipedia.org/wiki/Acalypha_chamaedrifolia
Dwarf copperleaf (Red),Acalypha wilkesiana,Ornamental plant with colorful leaves.,Tropical and subtropical regions,https://en.wikipedia.org/wiki/Acalypha_wilkesiana
False Amarnath,Iresine herbstii,Used as an ornamental plant for colorful foliage.,Various regions,https://en.wikipedia.org/wiki/Iresine_herbstii
Fenugreek Leaves,Trigonella foenum-graecum,"Culinary herb, used in Indian and Middle Eastern dishes.","Mediterranean, South Asia, Middle East",https://en.wikipedia.org/wiki/Fenugreek
Giant Pigweed,Amaranthus giganteus,Nutrient-rich leafy green.,Tropical and subtropical regions,https://g.co/bard/share/866bf56fc52b
Gongura,Hibiscus sabdariffa,"Used in Indian cuisine, especially in Andhra Pradesh.",South India,https://en.wikipedia.org/wiki/Gongura
Indian pennywort,Centella asiatica,"Medicinal herb, used in traditional medicine.","Wet, tropical regions",https://en.wikipedia.org/wiki/Centella_asiatica
Lagos Spinach,Talinum fruticosum,"Nutrient-dense leafy green, used in various dishes.",Tropical regions worldwide,https://en.wikipedia.org/wiki/Talinum_fruticosum
Lambs Quarters,Chenopodium album,"Edible wild plant, rich in nutrients.",Temperate and subtropical regions,https://en.wikipedia.org/wiki/Chenopodium_album
Lettuce Tree,Broussonetia papyrifera,Leaves used in some culinary dishes.,"East Asia, some other regions",https://en.wikipedia.org/wiki/Paper_mulberry
Malabar Spinach (Green),Basella alba,"Nutrient-rich leafy green, used in cooking.",Tropical and subtropical regions,https://en.wikipedia.org/wiki/Basella_alba
Mint Leaves,Mentha spp.,Aromatic herb used in culinary and medicinal applications.,Temperate and tropical regions,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9522532/#:~:text=Introduction-,Mints%20(Mentha%20spp.),natural%20pollination%20and%20cross%20breeding."
Mustard,Brassica juncea,Seeds and greens are used in cooking.,"Many regions, including India, Europe, North America",https://en.wikipedia.org/wiki/Brassica_juncea
Palak,Spinacia oleracea,"Nutrient-rich leafy green, commonly used in Indian cuisine.","Various regions, including India and Europe",https://en.wikipedia.org/wiki/Spinach
Siru Keerai,"Variable, depends on specific type",Benefits vary for different types.,"Variable, primarily in India",https://seedsofindia.com/item/Amaranthus-Siru-keerai--334
Water Spinach,Ipomoea aquatica,"Edible aquatic plant, popular in Asian cuisine.",Tropical and subtropical regions,https://en.wikipedia.org/wiki/Ipomoea_aquatica
Water Spinach,Euphorbia hirta,Used in traditional medicine for respiratory conditions.,Tropical and subtropical regions,https://en.wikipedia.org/wiki/Euphorbia_hirta
Avaram,Senna auriculata,Medicinal plant used in traditional remedies.,Various parts of India,https://en.wikipedia.org/wiki/Senna_auriculata
Balloon Vine,Cardiospermum halicacabum,"Medicinal properties, used in traditional medicine.",Tropical and subtropical regions,https://en.wikipedia.org/wiki/Cardiospermum_halicacabum
Bellyache Bush (Green),Jatropha gossypiifolia,"Medicinal uses, especially for gastrointestinal issues.",Tropical and subtropical areas,https://en.wikipedia.org/wiki/Jatropha_gossypiifolia
Benghal Dayflower,Commelina benghalensis,Medicinal and culinary uses in some cultures.,Widely distributed in tropical regions,https://en.wikipedia.org/wiki/Commelina_benghalensis
Big Caltrops,Tribulus terrestris,Used in traditional medicine and dietary supplements.,Arid and tropical regions,https://en.wikipedia.org/wiki/Tribulus_terrestris
Black-Honey Shrub,Melochia tomentosa,"Medicinal uses, especially in traditional remedies.",Tropical and subtropical areas,https://greencoverinitiative.com/wild-plants/phyllanthus-reticulatus-black-honey-shrub/
Bristly Wild Grape,Cissus quadrangularis,"Medicinal properties, particularly for bone health.",Native to Asia and Africa,https://www.webmd.com/vitamins/ai/ingredientmono-1166/cissus-quadrangularis
Butterfly Pea,Clitoria ternatea,Used in traditional medicine and as a natural dye.,Tropical regions,https://en.wikipedia.org/wiki/Clitoria_ternatea
Cape Gooseberry,Physalis peruviana,Edible fruit with nutritional benefits.,Cultivated in various regions,https://en.wikipedia.org/wiki/Physalis_peruviana
Common Wireweed,Sida rhombifolia,"Medicinal uses, especially in traditional medicine.",Tropical and subtropical regions,https://en.wikipedia.org/wiki/Sida_rhombifolia
Country Mallow,Abutilon indicum,"Medicinal properties, used in traditional remedies.",Various regions,https://en.wikipedia.org/wiki/Abutilon_indicum
Crown Flower,Calotropis gigantea,Medicinal uses and ornamental value.,Native to tropical areas,https://en.wikipedia.org/wiki/Calotropis_gigantea
Green Chireta,Andrographis paniculata,"Medicinal plant, known for its immune-boosting properties.",Cultivated in Asia and other regions,https://en.wikipedia.org/wiki/Andrographis_paniculata
Holy Basil,Ocimum tenuiflorum,Medicinal herb with various health benefits.,Grown in many parts of the world,https://en.wikipedia.org/wiki/Ocimum_tenuiflorum
Indian CopperLeaf,Acalypha indica,"Medicinal uses, particularly in traditional medicine.",Tropical and subtropical regions,https://en.wikipedia.org/wiki/Acalypha_indica
Indian Jujube,Ziziphus mauritiana,Edible fruit with nutritional value.,Grown in many tropical and subtropical areas,https://en.wikipedia.org/wiki/Ziziphus_mauritiana
Indian Sarsaparilla,Hemidesmus indicus,"Medicinal properties, used in traditional remedies.",Native to India and other Asian countries,https://en.wikipedia.org/wiki/Hemidesmus_indicus
Indian Stinging Nettle,Urtica dioica subsp. galeopsifolia,"Medicinal uses, especially for its anti-inflammatory properties.",Various temperate regions,https://en.wikipedia.org/wiki/Urtica_dioica_subsp._galeopsifolia
Indian Thornapple,Datura metel,"Medicinal properties, but also toxic in high doses.",Grown in tropical and subtropical regions,https://en.wikipedia.org/wiki/Datura_metel
Indian Wormwood,Artemisia indica,"Medicinal uses, including traditional remedies.",Native to Asia,https://en.wikipedia.org/wiki/Artemisia_indica
Ivy Gourd,Coccinia grandis,Edible fruit and medicinal uses.,Grown in tropical regions,https://en.wikipedia.org/wiki/Coccinia_grandis
Kokilaksha,Asteracantha longifolia,"Medicinal properties, especially for reproductive health.",Found in India and other parts of Asia,https://en.wikipedia.org/wiki/Hygrophila_auriculata
Land Caltrops (Bindii),Tribulus cistoides,"Medicinal uses, especially in traditional medicine.",Tropical and subtropical regions,https://en.wikipedia.org/wiki/Tribulus_cistoides
Madagascar Periwinkle,Catharanthus roseus,"Medicinal properties, particularly in cancer treatment.",Cultivated in various regions,https://en.wikipedia.org/wiki/Catharanthus_roseus
Madras Pea Pumpkin,Dioscorea bulbifera,"Edible tubers, but some varieties can be toxic.",Native to tropical regions,https://en.wikipedia.org/wiki/Dioscorea_bulbifera
Malabar Catmint,Plectranthus amboinicus,"Medicinal herb, used for its aromatic leaves.",Cultivated in tropical and subtropical regions,https://en.wikipedia.org/wiki/Coleus_amboinicus
Mexican Mint,Tagetes lucida,Culinary and medicinal herb.,Grown in various regions,https://en.wikipedia.org/wiki/Tagetes_lucida
Mexican Prickly Poppy,Argemone mexicana,"Medicinal uses, but parts can be toxic.",Native to the Americas,https://en.wikipedia.org/wiki/Argemone_mexicana
Mountain Knotgrass,Aerva lanata,Medicinal plant with various traditional uses.,Found in tropical and subtropical areas,https://en.wikipedia.org/wiki/Aerva_lanata
Nalta Jute,Corchorus olitorius,Edible leaves and fiber production.,Cultivated in Asia and Africa,https://en.wikipedia.org/wiki/Corchorus_olitorius
Night Blooming Cereus,Selenicereus grandiflorus,Ornamental plant with fragrant night-blooming flowers.,Cultivated as an ornamental plant,https://en.wikipedia.org/wiki/Selenicereus_grandiflorus
Panicled Foldwing,Dicliptera paniculata,Medicinal plant with traditional uses.,Found in tropical regions,https://indiabiodiversity.org/observation/show/331438
Prickly Chaff Flower,Achyranthes aspera,"Medicinal plant, used in traditional remedies.",Widely distributed in tropical and subtropical areas,https://en.wikipedia.org/wiki/Achyranthes_aspera
Punarnava,Boerhavia diffusa,Medicinal plant known for its diuretic properties.,Grown in various regions,https://en.wikipedia.org/wiki/Boerhavia_diffusa
Purple Fruited Pea Eggplant,Solanum trilobatum,Medicinal plant with traditional uses.,Found in tropical regions,https://en.wikipedia.org/wiki/Solanum_trilobatum
Purple Tephrosia,Tephrosia purpurea,Medicinal plant with various traditional uses.,Grown in tropical and subtropical regions,https://en.wikipedia.org/wiki/Tephrosia_purpurea
Rosary Pea,Abrus precatorius,Ornamental plant with toxic seeds.,Found in tropical and subtropical regions,https://en.wikipedia.org/wiki/Abrus_precatorius
Shaggy Button Weed,Diodia virginiana,"Medicinal uses, particularly in traditional medicine.",Native to the Americas,https://en.wikipedia.org/wiki/Diodia_virginiana
Small Water Clover,Marsilea minuta,"Aquatic plant, used in aquariums.",Grows in wet areas,https://en.wikipedia.org/wiki/Marsilea_minuta
Spiderwisp,Cleome gynandra,Edible leafy green with nutritional value.,Found in tropical regions,https://en.wikipedia.org/wiki/Cleome_gynandra
Square Stalked Vine,Melothria pendula,"Edible fruit, often used in salads.",Cultivated in various regions,https://en.wikipedia.org/wiki/Melothria_pendula
Stinking Passionflower,Passiflora foetida,"Medicinal uses, particularly in traditional medicine.",Native to tropical regions,https://en.wikipedia.org/wiki/Passiflora_foetida
Sweet Basil,Ocimum basilicum,Culinary herb with a sweet aroma.,Grown in many parts of the world,https://en.wikipedia.org/wiki/Basil
Sweet Flag,Acorus calamus,"Medicinal plant, especially for its aromatic rhizomes.","Native to Asia, Europe, and North America",https://en.wikipedia.org/wiki/Acorus_calamus
Tinnevelly Senna,Cassia angustifolia,"Medicinal plant, known for its laxative properties.",Cultivated in various regions,https://en.wikipedia.org/wiki/Senna_alexandrina
Trellis Vine,Cissus sicyoides,"Medicinal uses, especially in traditional medicine.",Found in tropical and subtropical regions,https://en.wikipedia.org/wiki/Cissus_verticillata
Velvet Bean,Mucuna pruriens,Medicinal and agricultural uses.,Cultivated in tropical and subtropical areas,https://en.wikipedia.org/wiki/Mucuna_pruriens
Coatbuttons,Tridax procumbens,"Medicinal plant, used in traditional remedies.",Found in tropical regions,https://en.wikipedia.org/wiki/Tridax_procumbens
Heart-Leaved Moonseed,Tinospora cordifolia,"Medicinal properties, used in traditional medicine.","Native to tropical regions, especially in India",https://en.wikipedia.org/wiki/Tinospora_cordifolia